Date,Entries
2020/01/24,162240.0
2020/01/25,135485.0
2020/01/26,217065.0
2020/01/27,219066.0
2020/01/28,223192.0
2020/01/29,236350.0
2020/01/30,160923.0
2020/01/31,140859.0
2020/02/01,138264.0
2020/02/02,140513.0
2020/02/03,131004.0
2020/02/04,69812.0
2020/02/05,58784.0
2020/02/06,82017.0
2020/02/07,95982.0
2020/02/08,23399.0
2020/02/09,29015.0
2020/02/10,21777.0
2020/02/11,19260.0
2020/02/12,18697.0
2020/02/13,16521.0
2020/02/14,16764.0
2020/02/15,19509.0
2020/02/16,23393.0
2020/02/17,19001.0
2020/02/18,17413.0
2020/02/19,15658.0
2020/02/20,16649.0
2020/02/21,17935.0
2020/02/22,18771.0
2020/02/23,23565.0
2020/02/24,19970.0
2020/02/25,17832.0
2020/02/26,17061.0
2020/02/27,16952.0
2020/02/28,18448.0
2020/02/29,21762.0
2020/03/01,25574.0
2020/03/02,20284.0
2020/03/03,17437.0
2020/03/04,16844.0
2020/03/05,16695.0
2020/03/06,18911.0
2020/03/07,19758.0
2020/03/08,23908.0
2020/03/09,18967.0
2020/03/10,17107.0
2020/03/11,17657.0
2020/03/12,16565.0
2020/03/13,18745.0
2020/03/14,19282.0
2020/03/15,24528.0
2020/03/16,21488.0
2020/03/17,18686.0
2020/03/18,20583.0
2020/03/19,13118.0
2020/03/20,14858.0
2020/03/21,13494.0
2020/03/22,12797.0
2020/03/23,11652.0
2020/03/24,14783.0
2020/03/25,5297.0
2020/03/26,4458.0
2020/03/27,4033.0
2020/03/28,4662.0
2020/03/29,3584.0
2020/03/30,2933.0
2020/03/31,2495.0
2020/04/01,2146.0
2020/04/02,1445.0
2020/04/03,1652.0
2020/04/04,1302.0
2020/04/05,1649.0
2020/04/06,1465.0
2020/04/07,992.0
2020/04/08,1576.0
2020/04/09,1167.0
2020/04/10,1646.0
2020/04/11,960.0
2020/04/12,1181.0
2020/04/13,1082.0
2020/04/14,1146.0
2020/04/15,1244.0
2020/04/16,1056.0
2020/04/17,1476.0
2020/04/18,980.0
2020/04/19,1131.0
2020/04/20,1272.0
2020/04/21,882.0
2020/04/22,1090.0
2020/04/23,696.0
2020/04/24,1316.0
2020/04/25,932.0
2020/04/26,955.0
2020/04/27,984.0
2020/04/28,944.0
2020/04/29,1386.0
2020/04/30,1788.0
2020/05/01,1528.0
2020/05/02,1159.0
2020/05/03,1647.0
2020/05/04,1577.0
2020/05/05,1106.0
2020/05/06,1410.0
2020/05/07,1231.0
2020/05/08,2652.0
2020/05/09,2001.0
2020/05/10,3096.0
2020/05/11,3078.0
2020/05/12,2778.0
2020/05/13,2030.0
2020/05/14,1670.0
2020/05/15,2115.0
2020/05/16,2260.0
2020/05/17,2413.0
2020/05/18,2222.0
2020/05/19,1494.0
2020/05/20,2064.0
2020/05/21,1884.0
2020/05/22,2496.0
2020/05/23,2857.0
2020/05/24,4147.0
2020/05/25,2570.0
2020/05/26,1605.0
2020/05/27,1380.0
2020/05/28,1572.0
2020/05/29,1848.0
2020/05/30,1851.0
2020/05/31,2581.0
2020/06/01,2095.0
2020/06/02,1985.0
2020/06/03,2419.0
2020/06/04,2672.0
2020/06/05,2873.0
2020/06/06,2357.0
2020/06/07,3775.0
2020/06/08,3465.0
2020/06/09,2451.0
2020/06/10,2516.0
2020/06/11,1945.0
2020/06/12,2378.0
2020/06/13,1995.0
2020/06/14,1874.0
2020/06/15,3750.0
2020/06/16,3589.0
2020/06/17,3480.0
2020/06/18,3264.0
2020/06/19,3447.0
2020/06/20,2000.0
2020/06/21,2295.0
2020/06/22,3242.0
2020/06/23,3692.0
2020/06/24,3278.0
2020/06/25,1518.0
2020/06/26,3384.0
2020/06/27,1744.0
2020/06/28,1773.0
2020/06/29,2891.0
2020/06/30,3690.0
2020/07/01,1473.0
2020/07/02,3543.0
2020/07/03,3711.0
2020/07/04,2117.0
2020/07/05,2562.0
2020/07/06,3608.0
2020/07/07,3839.0
2020/07/08,3974.0
2020/07/09,3045.0
2020/07/10,3624.0
2020/07/11,2326.0
2020/07/12,2229.0
2020/07/13,2105.0
2020/07/14,1748.0
2020/07/15,2107.0
2020/07/16,1453.0
2020/07/17,1931.0
2020/07/18,1367.0
2020/07/19,1517.0
2020/07/20,1299.0
2020/07/21,1254.0
2020/07/22,1570.0
2020/07/23,873.0
2020/07/24,1479.0
2020/07/25,992.0
2020/07/26,1154.0
2020/07/27,902.0
2020/07/28,1282.0
2020/07/29,734.0
2020/07/30,663.0
2020/07/31,1099.0
2020/08/01,1025.0
2020/08/02,1137.0
2020/08/03,934.0
2020/08/04,1114.0
2020/08/05,1101.0
2020/08/06,830.0
