word,count
患者,5116
日出,1794
遊紀錄,1436
無外,1433
現症,1373
宗個案,1045
健康,893
良好,892
過往,879
中心,707
病徵,687
沒有,645
咳嗽,595
開始,582
nan,567
記錄,563
檢疫,555
無外遊,554
返港,546
接受,515
送院,488
關連,465
發燒,439
日至,381
英國,360
抵港,318
症狀,309
醫院,304
家居,302
強制,268
喉嚨,256
出現,251
病患,248
有長,240
日到,240
由檢疫,194
留學生,176
治療,159
工作,158
群組,157
鼻水,155
確診,155
巴基斯坦,149
現發燒,125
博覽館,123
印度,119
入住,110
隔離,107
入院,104
一直,102
曾到,101
丈夫,100
酒吧,99
痛及,95
失去,95
目前,93
更新,90
妻子,86
留醫,85
香港,85
由亞洲,84
家人,83
留學,81
痛症,79
嗅覺,79
屯門,78
送往,77
安排,77
一名,76
頭痛,75
原本,69
病毒,69
呈陽性,69
美國,68
防護,68
樣本,67
酒店,67
檢測,66
女兒,66
衛生,66
私家,66
流行病,65
反應,64
航空,64
同日,64
乘坐,64
現病,63
學關連,62
母親,61
由菲律賓,61
發病,60
院友,60
國際,60
任職,59
求診,58
及樂隊,57
上班,57
及流,56
回港,56
朋友,56
期間,54
醫生,54
呼吸,54
的士,53
現發,53
一同,53
肌肉,52
情況,52
外遊,51
兒子,50
司機,50
燒及,49
伊利,49
徵狀,49
求醫,48
日期,47
個案,46
人士,46
並沒有,46
唾液,45
腹瀉,45
沙伯醫院,44
困難,44
結果,44
住院,44
瑪麗,44
接觸,43
同事,43
資料,42
瑞士,41
到過,40
聯合,39
過英國,39
深喉,39
泰護,39
陰性,39
日起,39
為港,39
康和護,38
餐廳,38
年齡,37
現喉嚨,37
居家,37
日到過,36
父親,36
居住,36
同住,36
家庭,35
急症室,35
沒出,35
密切,35
聚會,33
東區,33
味覺,33
病房,33
潛伏期,33
菲律賓,33
出院,32
同一,32
出席,32
加拿大,32
無病,32
航班,31
Global,31
大廈,31
進行,31
Star,31
慈雲山,30
二人,29
為海員,29
建築,29
梁氏,29
早前,29
日開,28
日因,28
外遊紀錄,27
街市,27
屬堅城,27
西班牙,27
前往,27
接觸者,27
外傭,26
不適,26
多哈,25
太太,25
平常,25
瑪嘉烈,25
直銷,25
稻香,25
親友,24
過美國,24
一個,24
惡化,24
並無出,24
包括,24
鼻塞,24
探親,23
其他,23
感染,23
北角,23
日本,23
分離世,23
疲倦,22
王醫院,22
打素,22
威爾斯親,22
現流,22
檢驗,22
法國,21
尖沙咀,21
逗留,21
活動,21
持續,21
他們,21
測試,21
呼吸道,21
律敦治,21
痕癢,21
日有,21
女患者,21
露台,20
始流,20
穩定,20
病情,20
現頭,20
未有,20
所求,20
佛堂,20
當時,20
沙田,20
及頭,20
日公,20
人均,19
紀錄,19
員工,19
旅遊,19
大埔,19
翌日,19
將軍澳,19
口罩,19
酒家,19
肺炎,18
轉差,18
日乘,18
旺角,18
駿洋,18
初步,18
返回,18
國泰,18
月底,18
慶回,17
本身,17
一間,17
廣場,17
現時,17
延至,17
新加坡,17
傭工,17
證實,17
參與,17
