word,count
patient,4531
symptoms,2186
travel,2048
history,2038
July,2009
developed,1735
recent,1107
Kong,1087
Hong,1059
health,1046
Mar,985
good,869
past,851
started,789
quarantine,770
case,659
fever,616
nan,570
March,541
epidemiologically,370
Feb,370
home,363
hospital,359
Hospital,352
related,351
returned,350
centre,348
under,345
throat,343
-,337
',337
Her,332
since,330
transferred,327
UK,317
between,314
His,299
patients,290
cough,282
lives,280
compulsory,269
went,259
his,255
sore,247
upon,243
studies,235
been,230
visited,226
hospitalised,226
treatment,221
June,220
underlying,220
exhibited,220
April,205
her,203
s,197
coughing,196
conditions,195
28,187
arrived,182
cluster,174
positive,173
return,167
nose,164
returning,150
tested,149
Jan,146
Pakistan,144
flight,144
during,141
CHP,140
Expo,135
United,133
abroad,133
works,133
After,133
Centre,133
by,131
runny,129
family,127
part,124
Wan,121
who,120
coughs,120
linkage,119
Philippines,118
not,117
India,114
epidemiological,113
Mun,112
travelled,108
Estate,108
Tuen,105
wife,105
day,104
3,104
linked,103
those,102
after,101
via,97
sent,96
cases,96
headache,94
updated,94
May,92
Tai,92
same,91
Asia,91
World,90
House,90
Kingdom,88
Queen,88
husband,86
currently,83
&,82
admitted,80
Road,78
sample,75
have,75
mother,73
February,72
an,72
daughter,72
resides,72
son,71
then,70
attended,70
private,69
domestic,67
smell,66
diagnosed,64
are,64
were,63
confirmed,63
helper,61
member,60
asymptomatic,59
contact,59
work,58
loss,57
Restaurant,57
began,56
virus,56
deep,54
US,53
France,53
also,52
Care,52
period,51
close,51
diarrhea,51
be,51
but,50
Shan,50
Home,50
coronavirus,50
driver,50
taxi,49
illness,49
members,49
sense,48
They,48
saliva,48
Aged,47
Tsz,46
January,45
recently,45
Elizabeth,45
AsiaWorld,44
father,44
Elderly,44
later,43
details,43
belongs,43
Mary,43
incubation,42
stayed,42
arranged,42
Block,42
Hotel,41
experiencing,41
breathing,41
taste,41
did,41
Princess,41
Nethersole,41
San,41
friends,41
negative,40
General,40
along,40
Bar,40
Plaza,40
sister,40
London,40
Shing,40
2019,39
dined,39
muscle,39
staying,39
